"아이디","성별","생년","연령","거주지","독서 연상 이미지","독서범위 동의 정도_만화책","독서범위 동의 정도_웹툰","독서범위 동의 정도_웹소설","독서범위 동의 정도_정보, 학술잡지","독서범위 동의 정도_예술, 취미분야 잡지","독서 역량_사회생활에 도움","독서 역량_개인역량을 향상","독서 역량_업무/학업에 실질적 도움","독서사업이 독서량 증가에 도움이 된다","독서사업 / 정책이 지속되어야 한다","독서사업 / 정책이 지속되어야 한다는 응답 이유","독서사업 / 정책이 지속되어야 한다는 응답 이유","독서사업 / 정책이 지속되어야 한다는 응답 이유","지난 1년간 독서량(종이책)_일반도서","지난 1년간 독서량(종이책)_만화","지난 1년간 독서량(종이책)_잡지","지난 1년간 독서량(전자책)_일반도서","지난 1년간 독서량(전자책)_만화","지난 1년간 독서량(전자책)_잡지","일주일 총 독서시간(시간)","일주일 총 독서시간(분)","정보/자료 수집방법","정보/자료 수집방법","정보/자료 수집방법_기타","여가시간 활용","여가시간 활용","여가시간 활용 _기타","최근 1년 독서 빈도","독서 주된 이유","독서 주된 이유","독서 주된 이유_기타","독서 방식","독서 장소","독서 장소_기타","독서 장소 선호 사유","독서 장소 선호 사유","독서를 하게 되는 상황","독서를 하게 되는 상황","독서를 하게 되는 상황_기타","독서하는 매체","선호하는 도서 분야","선호하는 도서 분야","선호하는 도서 분야_기타","도서에 대한 주변과의 소통","1년전 대비 독서량 증감","독서량 증가&감소 이유","독서량 증가&감소 이유","독서량 증가&감소 이유_기타","책을 구하는 방법","책을 구하는 방법_기타","책에 대한 정보 수집 방법","책에 대한 정보 수집 방법","책에 대한 정보 수집 방법_기타","도서 결정 기준","도서 결정 기준","도서 결정 기준_기타","책 선호 형태(종이책 / 전차책)","종이책과 전자책 선호 이유_책의 양","종이책과 전자책 선호 이유_주제 다양성","종이책과 전자책 선호 이유_입수 절차","종이책과 전자책 선호 이유_입수 신속성","종이책과 전자책 선호 이유_휴대성","종이책과 전자책 선호 이유_가독성","독서시 이용 책의 형태","전자책 이용_주로 사용 하는 기기","전자책 이용_주로 이용하는 플랫폼","전자책 이용_주로 이용하는 플랫폼_기타","전자책 이용_전자책 이용 횟수","전자책 이용_많이 있는 전자책 분야","전자책 이용_많이 있는 전자책 분야","전자책 이용_많이 있는 전자책 분야_기타","독서 프로그램 참여 경험","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관_기타","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램_기타","참여경험자_독서 프로그램 참여 계기","참여경험자_독서 프로그램 참여 계기_기타","비참여자_비참여 이유","비참여자_비참여 이유_기타","도서관 운영 문화 프로그램 참여 경험","도서관 문화프로그램 동의정도_종류 다양","도서관 문화프로그램 동의정도_이용자 요구 반영","도서관 문화프로그램 동의정도_독서 증진에 도움","도서관 문화프로그램 동의정도_도서관 이용에 긍정적 작용","도서관 문화프로그램 동의정도_다른 기관과 차별화","도서관 문화프로그램 동의정도_전반적 수준이 높고 전문적","도서관 문화 프로그램 전반적 만족도","도서관에서 프로그램 개발 운영시 고려점","도서관에서 프로그램 개발 운영시 고려점_기타","개설 희망 문화프로그램 의견","개설 희망 문화프로그램 의견","최근 1년 도서관 이용 횟수","도서관 이용 주된 목적","최근 1년간 주 이용 도서관 유형","작은도서관 이용자_ 주 이용 작은도서관 형태","작은도서관 이용자_작은 도서관 이용 이유","도서관 환경_환경이 쾌적하다","도서관 환경_냉/난방시설 가동","도서관 환경_조명 적합도","도서관 환경_접근 용이성","도서관 직원_직원 응대태도","도서관 직원_업무 수행을 위한 전문성","도사관 시설/관리/서비스_도서양 충분성","도사관 시설/관리/서비스_도서 구성 비율 적정성","도사관 시설/관리/서비스_최선 서적을 적절히 보유","도사관 시설/관리/서비스_대출 반납절차 편리","도사관 시설/관리/서비스_이용에 대한 정보 수집 용이","최근 1년간 주 이용 도서관 만족도","도서관 이용 만족&불만족 사유","도서관 이용 만족&불만족 사유","주 이용 도서관 재 이용 의향","주 이용 도서관 추천 의향","최근 1년간 동네 책방 이용 경험","동네책방 이용 이유","동네책방 이용 이유","동네책방 이용 이유_기타","기업형 중고서점 이용 경험","기업형 중고서점 이용 이유","기업형 중고서점 이용 이유","기업형 중고서점 이용 이유_기타","헌책방 이용 경험","헌책방 이용 이유","헌책방 이용 이유","헌책방 이용 이유_기타","독서 방해 요인","독서 방해 요인","독서 방해 요인_기타","기대하는 도서관 역할","기대하는 도서관 역할","기대하는 도서관 역할_기타","현재 도서관 평가","현재 도서관 평가","현재 도서관 평가_기타","도서관 사회 기여도_지역사회에 대한 이해도 향상","도서관 사회 기여도_지역사회에 대한 소속감 강화","도서관 사회 기여도_사회 취약계층 등 정보접근 지원","도서관 사회 기여도_지식격차 완화","도서관 사회 기여도_공동체 의힉 함양","향후 도서관 서비스 이용 의향","향후 도서관 이용 의향 이유","향후 도서관 이용 의향 이유","향후 도서관 이용 의향 이유_기타","향후 도서관 비이용 의향 이유","향후 도서관 비이용 의향 이유","향후 도서관 비이용 의향 이유_기타","독서문화 향상을 위해 서울시 추진 독서 정책 방향","독서문화 향상을 위해 서울시 추진 독서 정책 방향","독서문화 향상을 위해 서울시 추진 독서 정책 방향_기타","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","독서사업 필요 프로그램","독서사업 필요 프로그램","참여경험_책 읽는 서울","참여경험_한 도서관 한 책 읽기","참여경험_생애주기별 독서","참여경험_어르신 치매예방독서 토론","참여경험_독서소외계층","참여경험_도서관 독서 동아리","참여경험_서울 북 페스티벌","서울시민이 책과 가까워지기 위한 독서진흥 정책 등 아이디어","서울시민이 책과 가까워지기 위한 독서진흥 정책 등 아이디어","자녀유무","학력","직업","소득","A06","AREA1"
"229          ","2            ","1972         ","4            ","3            ","81           ","             ","2            ","3            ","6            ","4            ","4            ","4            ","4            ","5            ","4            ","4            ","9            ","             ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","4            ","3            ","             ","4            ","2            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","5            ","1            ","2            ","                                        ","2            ","             ","2            ","5            ","             ","1            ","2            ","             ","2            ","3            ","2            ","1            ","2            ","2            ","3            ","2            ","2            ","1            ","             ","5            ","11           ","4            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","1            ","3            ","3            ","3            ","2            ","2            ","4            ","2            ","2            ","                                        ","99           ","             ","1            ","4            ","1            ","             ","             ","3            ","1            ","2            ","3            ","3            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","210          ","             ","1            ","1            ","1            ","4            ","1            ","             ","1            ","1            ","2            ","             ","1            ","2            ","1            ","             ","1            ","2            ","                                        ","3            ","1            ","             ","1            ","2            ","                                        ","2            ","3            ","2            ","2            ","2            ","5            ","4            ","8            ","             ","             ","             ","                                        ","5            ","1            ","             ","1            ","8            ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","4            ","1            ","5            ","0            ","1            "
"230          ","2            ","1952         ","6            ","3            ","171          ","             ","5            ","6            ","5            ","6            ","6            ","5            ","5            ","4            ","5            ","5            ","22           ","             ","1            ","2            ","1            ","0            ","0            ","0            ","0            ","30           ","6            ","2            ","TV           ","2            ","8            ","             ","4            ","5            ","1            ","             ","1            ","1            ","             ","2            ","20           ","2            ","4            ","             ","1            ","1            ","14           ","             ","2            ","3            ","             ","             ","                                        ","7            ","             ","3            ","5            ","             ","4            ","2            ","             ","1            ","5            ","4            ","5            ","4            ","2            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","3            ","                                        ","2            ","1            ","             ","1            ","2            ","                                        ","3            ","5            ","3            ","6            ","2            ","4            ","6            ","5            ","             ","             ","             ","                                        ","10           ","9            ","             ","1            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","             ","2            ","3            ","13           ","2            ","30           ","1            "
"231          ","2            ","1995         ","2            ","3            ","19           ","             ","3            ","3            ","3            ","3            ","3            ","5            ","5            ","2            ","4            ","4            ","1            ","             ","5            ","0            ","0            ","0            ","0            ","0            ","1            ","30           ","1            ","2            ","             ","2            ","4            ","             ","3            ","1            ","6            ","             ","1            ","1            ","             ","2            ","             ","2            ","3            ","             ","1            ","1            ","5            ","             ","3            ","2            ","2            ","3            ","                                        ","2            ","             ","9            ","7            ","             ","2            ","6            ","             ","1            ","5            ","5            ","1            ","5            ","1            ","1            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","5            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","2            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","1            ","5            ","1            ","             ","2            ","             ","             ","             ","2            ","3            ","                                        ","1            ","4            ","             ","1            ","3            ","                                        ","4            ","4            ","4            ","4            ","4            ","4            ","1            ","8            ","             ","             ","             ","                                        ","5            ","2            ","             ","1            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","7            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","6            ","12           ","4            ","90           ","1            "
"232          ","2            ","1945         ","6            ","3            ","155          ","             ","3            ","2            ","5            ","3            ","2            ","6            ","6            ","3            ","4            ","6            ","22           ","             ","10           ","0            ","1            ","0            ","0            ","0            ","10           ","0            ","6            ","4            ","뉴스           ","2            ","7            ","             ","4            ","7            ","1            ","             ","1            ","1            ","             ","3            ","             ","2            ","4            ","             ","1            ","3            ","7            ","             ","4            ","3            ","             ","             ","                                        ","7            ","             ","5            ","11           ","절            ","2            ","1            ","             ","1            ","5            ","4            ","4            ","1            ","2            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","64           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","3            ","                                        ","2            ","1            ","             ","2            ","1            ","                                        ","2            ","3            ","3            ","5            ","2            ","3            ","             ","             ","             ","98           ","             ","                                        ","9            ","7            ","             ","1            ","4            ","9            ","             ","             ","             ","             ","             ","             ","             ","4            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","95           ","             ","2            ","2            ","9            ","1            ","600          ","1            "
"233          ","2            ","1965         ","5            ","3            ","142          ","81           ","2            ","4            ","2            ","5            ","4            ","6            ","4            ","5            ","4            ","5            ","24           ","             ","1            ","0            ","0            ","1            ","0            ","0            ","6            ","0            ","1            ","4            ","             ","5            ","6            ","             ","3            ","1            ","2            ","             ","3            ","1            ","             ","20           ","2            ","2            ","4            ","             ","2            ","2            ","4            ","             ","4            ","5            ","1            ","8            ","                                        ","1            ","             ","5            ","7            ","             ","5            ","7            ","             ","2            ","4            ","2            ","2            ","2            ","2            ","3            ","3            ","4            ","1            ","             ","2            ","7            ","10           ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","1            ","5            ","4            ","4            ","4            ","4            ","4            ","4            ","1            ","                                        ","99           ","             ","1            ","1            ","1            ","             ","             ","5            ","5            ","5            ","4            ","4            ","4            ","3            ","4            ","4            ","4            ","5            ","4            ","42           ","             ","4            ","4            ","1            ","4            ","2            ","             ","1            ","1            ","2            ","             ","1            ","2            ","4            ","             ","2            ","6            ","                                        ","1            ","3            ","             ","4            ","1            ","                                        ","4            ","4            ","3            ","2            ","2            ","6            ","8            ","4            ","             ","             ","             ","                                        ","1            ","2            ","             ","4            ","5            ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","6            ","4            ","5            ","360          ","1            "
"234          ","2            ","1981         ","3            ","3            ","108          ","             ","5            ","6            ","6            ","6            ","5            ","2            ","3            ","2            ","1            ","1            ","201          ","             ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","1            ","4            ","             ","2            ","3            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","             ","                                        ","6            ","             ","5            ","9            ","             ","2            ","5            ","             ","1            ","4            ","5            ","4            ","3            ","3            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","6            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","1            ","                                        ","3            ","5            ","             ","1            ","4            ","                                        ","3            ","5            ","3            ","2            ","3            ","2            ","             ","             ","             ","3            ","8            ","                                        ","4            ","7            ","             ","1            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","7            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","4            ","10           ","5            ","0            ","1            "
"235          ","2            ","1989         ","2            ","2            ","26           ","             ","6            ","6            ","6            ","6            ","6            ","6            ","6            ","6            ","3            ","3            ","215          ","             ","2            ","2            ","0            ","0            ","0            ","0            ","0            ","40           ","1            ","             ","             ","4            ","3            ","             ","5            ","8            ","2            ","육아관련         ","1            ","1            ","             ","27           ","             ","2            ","3            ","             ","1            ","9            ","1            ","             ","2            ","4            ","96           ","2            ","                                        ","1            ","             ","7            ","5            ","             ","2            ","1            ","             ","1            ","4            ","4            ","4            ","4            ","2            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","6            ","                                        ","32           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","2            ","                                        ","1            ","4            ","             ","2            ","1            ","                                        ","4            ","4            ","4            ","5            ","4            ","5            ","2            ","5            ","             ","             ","             ","                                        ","4            ","2            ","             ","7            ","9            ","             ","             ","             ","             ","             ","             ","             ","             ","6            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","25           ","             ","2            ","6            ","13           ","3            ","40           ","1            "
"236          ","1            ","1939         ","6            ","2            ","156          ","             ","5            ","5            ","6            ","6            ","5            ","6            ","6            ","6            ","5            ","4            ","22           ","             ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","6            ","4            ","신문           ","2            ","6            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","             ","                                        ","1            ","             ","5            ","11           ","신문           ","2            ","6            ","             ","1            ","5            ","4            ","5            ","4            ","4            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","             ","                                        ","1            ","2            ","             ","2            ","5            ","                                        ","5            ","6            ","4            ","5            ","5            ","4            ","5            ","2            ","             ","             ","             ","                                        ","9            ","3            ","             ","1            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","3            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","123          ","             ","2            ","7            ","10           ","2            ","0            ","1            "
"237          ","1            ","1937         ","6            ","2            ","259          ","             ","5            ","6            ","6            ","5            ","6            ","6            ","6            ","6            ","5            ","6            ","70           ","             ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","4            ","2            ","             ","2            ","6            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","             ","                                        ","1            ","             ","4            ","2            ","             ","2            ","1            ","             ","1            ","4            ","4            ","5            ","4            ","5            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","7            ","                                        ","2            ","1            ","             ","3            ","4            ","                                        ","5            ","6            ","5            ","6            ","6            ","6            ","5            ","7            ","             ","             ","             ","                                        ","6            ","4            ","             ","98           ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","5            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","             ","2            ","3            ","5            ","3            ","0            ","1            "
"238          ","2            ","1960         ","5            ","2            ","2            ","             ","3            ","5            ","6            ","3            ","3            ","5            ","6            ","5            ","4            ","5            ","34           ","             ","1            ","0            ","0            ","0            ","0            ","0            ","0            ","20           ","6            ","4            ","TV           ","2            ","6            ","             ","5            ","6            ","1            ","             ","1            ","2            ","             ","25           ","             ","2            ","3            ","             ","1            ","11           ","1            ","             ","1            ","3            ","             ","             ","                                        ","1            ","             ","9            ","5            ","             ","2            ","7            ","             ","1            ","4            ","5            ","4            ","2            ","2            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","1            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","2            ","                                        ","1            ","3            ","             ","4            ","5            ","                                        ","3            ","3            ","4            ","3            ","3            ","1            ","             ","             ","             ","98           ","             ","                                        ","9            ","3            ","             ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","6            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","84           ","             ","2            ","4            ","4            ","3            ","20           ","1            "
"239          ","2            ","1940         ","6            ","2            ","155          ","             ","6            ","5            ","5            ","5            ","6            ","6            ","6            ","6            ","6            ","5            ","1            ","             ","12           ","0            ","0            ","0            ","0            ","0            ","0            ","30           ","4            ","2            ","             ","9            ","7            ","신문           ","4            ","1            ","7            ","             ","1            ","1            ","             ","3            ","18           ","2            ","3            ","             ","1            ","3            ","             ","             ","5            ","3            ","             ","             ","                                        ","5            ","             ","9            ","11           ","종교단체         ","2            ","1            ","             ","1            ","4            ","5            ","5            ","4            ","5            ","5            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","4            ","                                        ","20           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","5            ","                                        ","1            ","2            ","             ","4            ","5            ","                                        ","4            ","3            ","4            ","3            ","3            ","2            ","             ","             ","             ","98           ","             ","                                        ","3            ","1            ","             ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","5            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","3            ","             ","2            ","2            ","13           ","1            ","30           ","1            "
"240          ","2            ","1976         ","4            ","2            ","2            ","             ","3            ","5            ","5            ","3            ","3            ","5            ","5            ","4            ","3            ","3            ","204          ","             ","2            ","0            ","4            ","0            ","0            ","0            ","1            ","0            ","1            ","4            ","             ","3            ","4            ","             ","4            ","7            ","6            ","             ","1            ","1            ","             ","2            ","             ","4            ","3            ","             ","1            ","1            ","11           ","             ","2            ","3            ","             ","             ","                                        ","1            ","             ","7            ","4            ","             ","7            ","1            ","             ","1            ","4            ","3            ","4            ","2            ","2            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","5            ","             ","1            ","3            ","1            ","             ","             ","6            ","5            ","6            ","6            ","5            ","6            ","6            ","5            ","6            ","6            ","6            ","6            ","42           ","             ","5            ","5            ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","3            ","                                        ","1            ","4            ","             ","3            ","1            ","                                        ","4            ","5            ","6            ","6            ","4            ","5            ","1            ","5            ","             ","             ","             ","                                        ","5            ","7            ","             ","7            ","8            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","4            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","84           ","             ","1            ","6            ","5            ","5            ","60           ","1            "
"241          ","2            ","1986         ","3            ","2            ","219          ","33           ","5            ","4            ","4            ","5            ","5            ","6            ","6            ","6            ","5            ","5            ","1            ","             ","5            ","0            ","2            ","0            ","0            ","0            ","8            ","0            ","1            ","4            ","             ","4            ","1            ","             ","4            ","7            ","3            ","             ","1            ","2            ","             ","15           ","             ","4            ","2            ","             ","1            ","13           ","1            ","             ","4            ","4            ","7            ","1            ","                                        ","1            ","             ","1            ","9            ","             ","2            ","5            ","             ","1            ","5            ","2            ","2            ","3            ","2            ","5            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","5            ","4            ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","1            ","                                        ","4            ","2            ","             ","1            ","2            ","                                        ","4            ","4            ","4            ","3            ","2            ","5            ","3            ","1            ","             ","             ","             ","                                        ","9            ","5            ","             ","1            ","9            ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","6            ","10           ","6            ","480          ","1            "
"242          ","2            ","1959         ","5            ","2            ","70           ","             ","6            ","5            ","6            ","5            ","6            ","5            ","6            ","5            ","5            ","6            ","999          ","             ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","0            ","4            ","1            ","             ","2            ","6            ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","             ","                                        ","1            ","             ","9            ","5            ","             ","2            ","1            ","             ","1            ","4            ","5            ","4            ","4            ","4            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","63           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","7            ","                                        ","3            ","1            ","             ","5            ","2            ","                                        ","4            ","5            ","4            ","4            ","4            ","2            ","             ","             ","             ","98           ","7            ","                                        ","10           ","9            ","             ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","6            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","85           ","             ","2            ","3            ","5            ","2            ","0            ","1            "
"243          ","1            ","1959         ","5            ","2            ","14           ","             ","3            ","3            ","6            ","3            ","3            ","5            ","6            ","4            ","5            ","5            ","20           ","             ","0            ","0            ","0            ","1            ","0            ","0            ","0            ","20           ","1            ","5            ","             ","2            ","4            ","             ","5            ","6            ","1            ","             ","3            ","2            ","             ","20           ","             ","2            ","1            ","             ","2            ","6            ","11           ","             ","3            ","3            ","             ","             ","                                        ","1            ","             ","7            ","9            ","             ","2            ","5            ","             ","1            ","4            ","3            ","2            ","2            ","2            ","2            ","2            ","4            ","2            ","             ","5            ","1            ","6            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","6            ","                                        ","72           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","12           ","11           ","학교때 많이 봐서 지겨워짐                          ","1            ","5            ","             ","4            ","2            ","                                        ","3            ","4            ","3            ","4            ","4            ","2            ","             ","             ","             ","2            ","7            ","                                        ","12           ","7            ","역사 컨텐츠 제공    ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","116          ","             ","2            ","6            ","2            ","8            ","20           ","1            "
